,text
1,"With various industries adopting the technology in India, Banking and Finance sector tops the list followed by industries such as healthcare, retail, logistics, et al. Blockchain has found its way into the Indian Fintech ecosystem and is making its presence felt in profound ways."
2,Banks in India were quick to realize the opportunities of blockchain for efficient banking operations and are efficiently using the KYC procedures offered by the technology.
3,"SBI leads as the first bank to use KYC and facilitate remittances based on blockchain, followed by banks like Axis, HDFC, ICICI that are implementing blockchain for its KYC and trade finance procedures. Apart from this, the DLT also enables AML, the validation of land records and asset inventory audits."
4,"Employing another use case of Blockchain technology, multinational investment bank JP Morgan has partnered with seven Indian commercial banks and will onboard them on its blockchain platform"
5,"The seven banks including ICICI Bank, Axis Bank, Federal Bank of India, Yes Bank will join JP Morgan’s blockchain Interbank Information Network (IIN) which vastly improves the movement of funds and cross border payments. "
6,"As per Analytics India, IIN may use JP morgan’s native cryptocurrency JPM coin to move funds efficiently by exchanging and verifying transactional data in real-time. "
7,"Speaking to ET, Madhav Kalyan, CEO, JPMorgan Chase Bank, India said that the move will “address the challenges banks face in cross-border payments pertaining to friction points caused by multiple hops through the payment chain when further information is required.”"
8,"The banking, financial services and insurance (BFSI) sector are the leader in the adoption of Blockchain Technology in India taking up as much as 60% of the blockchain implementation in the country as per a NASSCOM report. "
9,"YES BANK, India’s 5th largest private sector bank today announced that they have implemented a multi-nodal Blockchain transaction to fully digitize vendor financing for Bajaj Electricals. The implementation has been done on a blockchain-based smart contract written by fintech start-up Cateina Technologies."
10,"YES BANK will also leverage IBM Watson Conversation, a cloud-based cognitive service, to enhance the digital experience of partners, corporate clients and developers collaborating with them on the integrated Blockchain – API Banking platform."
11,"Capitalising on the efficiency and security features of Blockchain, YES BANK has used the Hyperledger Fabric supported by IBM to design a vendor financing solution which allows Bajaj Electricals (anchor client) to digitize the process for discounting and disbursal of funds to its vendors by integrating seamlessly with YES BANK’s systems."
12,The solution will also facilitate an automated debit from Bajaj Electricals’ account by YES BANK. The business logic and rules are captured in a smartcontract (Chain Code) developed by Cateina Technologies. 
13,"The key business advantages and highlights of this blockchain implementation for vendor financing include:The entire process cycle for bill discounting reduces from four days (owing to manual intervention and transit) to almost real-time. Transparency to all parties through blockchain’s shared public ledger. End-to-end digital process eliminating paper trail & manual intervention.The entire transaction history of a particular vendor is recorded and is immutable through blockchain. The transaction status along with details are seamlessly transmitted to Bajaj Electricals’ Enterprise Resource Planning. Seamless integration with existing API Banking implementation by YES BANK using IBM’s Enterprise Service Bus(IIB), API management and Datapower solution. This integration offers automated processing of transactions with almost zero manual intervention. "
14,"YES BANK was the 1st Bank in India to launch API Banking services, which was also in collaboration with IBM in 2015.Use of a permissioned blockchain with flexibility to add other participants later. Use of superior Cryptokey to offer state-of-the-art security for both documents and transactions on the Blockchain."
15,"Speaking on the implementation, Mr. Rana Kapoor, MD&CEO, YES BANK, said,” Since inception, YES BANK has used technology and innovation, as mission critical pillars, to offer a superior banking experience to its corporate and retail customers. Our Blockchain implementation is a continuation of this philosophy to offer revolutionary banking technology to our clients. We are glad that Bajaj Electricals is undertaking this technological leap and working with us to solve the current challenges in Vendor Financing solutions by effectively utilising blockchain capabilities. I strongly believe that we are only at the tip of the iceberg,and envision that Blockchain coupled with IBM’s Cognitive solution on Cloud platformwill make a significant impact in the global Transaction Banking space by ensuring that the Financial Supply Chain is more robust, secure, seamlessly connected and provides a great customer experience.”"
16,"Vanitha Narayanan, Managing Director, IBM India Pvt. Ltd.said, “IBM is pleased to work with YES BANK as a valued client in the banking industry. With decades of industry leadership, we believe that cognitive systems that understand, reason and learn, in combination with blockchain networks and delivered on Cloud can transform operations, compliance and engagement, delivering truly individualised and secure client experiences. YES Bank has been an early adopter of technology to transform employee and client experiences and we look forward to a continued partnership with them.’’"
17,"Shekhar Bajaj, CMD, Bajaj Electricals, said, ”The BlockChain solution by YES BANK is a significant step towards digitally integrated solution for supply chain financing. This solution enables us to do timely processing of the vendor payment through vendor financing from the bank without physical documents and manual intervention. It also enables us and our vendor to track the status of the transactions on real time basis.”  "
18,"YES BANK will also use IBM Watson APIs on IBM Bluemix to drive a pioneering engagement program that will enrich the digital experience of the bank’s partners, developers as well as corporate clients. "
19,"The program is a conversational agent service of IBM Bluemix cloud which uses Watson APIs (Natural Language Classifier & Conversation Agent) to create a natural language interaction with the partners and external developers, when providing support on queries related to  YES BANK banking APIs, the Blockchain APIs, how to subscribe etc. The aim of the system is to help YES Bank’s partners and developers onboard and integrate their system quickly and simply whilst keeping waiting times to a bare minimum. With the conversation agent being able to find answers from the various backend sources in just a split second, the staff will be freed up to handle more complex problems and partners can benefit from a much simpler and faster process."
20,A report by Deloitte identifies ‘trade clearing and settlement’ as one among two use-cases of smart contracts that were most immediate to market. This makes the banking industry a huge potential market for the blockchain.
21,Infosys and TCS are the first large companies to roll out the use of blockchain technology in core banking platforms.
22,"A recent report by the innovation fund of Santander Bank predicted cost-savings of USD 15 to 20 billion by 2022, as a result of blockchain technology reducing financial infrastructure costs. "
23,"Smart contracts add to the ledger functionality of blockchain technology, allowing many kinds of selfexecuting instructions to be programmed into the blockchain. With the blockchain as the single source of truth, requiring no manual verification, smart contracts can automate approval workflows and clearing calculations.18 These processes are cost- and labor-intensive, and are subject to delay and human error"
24,"A core banking system is the back-end data processing application for processing all transactions that have occurred during the day and posting updated data on account balances to the mainframe. Core systems typically include deposit account and CD account processing, loan and credit processing, interfaces to the general ledger and reporting tools"
25,"Several financial institutions, investment funds, and financial infrastructure bodies have taken notice of the potential impact of blockchain technology on clearing and settlement. "
26,"Investors in blockchain startups in the clearing and settlement space include Khosla Ventures, SV Angel, Citigroup, JP Morgan, and Santander."
27,The two consortiums R3 and Enterprise Ethereum Alliance together boast several leading global financial institutions.
28,"The Depository Trust & Clearing Corporation (DTCC), the premier post-trade market infrastructure organization in global finance, announced a project to deploy blockchain technology for the clearing and settlement of a huge swathe of repurchase agreement (repo) transactions.21 Also, seven major European financial institutions, including BNP Paribas Securities, announced a venture called ‘Liquidshare’ to explore the development of a post-trade blockchain-based infrastructure for small and medium enterprises in Europe."
29,"Axis Bank, ICICI Bank, IDFC Bank, Kotak Mahindra Bank, and Yes Bank have carried out blockchain pilot runs for vendor financing and international trade finance."
30,"In February 2017, India’s largest bank, State Bank of India, announced a consortium “Bankchain” to implement blockchain technology, which now includes over 30 commercial banks, including most of India’s largest banks."
31,"Bankchain is reported to be working on setting up an integrated corporate e-KYC platform, a vendor rating system and a blockchain powered register, which records hypothecation, lien, mortgages and pledges on movable, immovable and tangible assets."
32,"The National Payments Corporation of India (NPCI) too had held an “ideathon,” and set up a working group to help it understand the implications of blockchain technology."
33,"In November 2018, HSBC Bank in India settled an export transaction for Reliance Industries Limited using the blockchain.31 The customer in this transaction was based in the U.S. and the transaction involved using a blockchainbased Letter of Credit and an electronic bill-oflading which allowed for a digital transfer in the title of goods."
34,"Additionally, ‘India Trade Connect’ is a consortium led by Infosys which was joined by Axis Bank, ICICI Bank, IndusInd Bank, RBL Bank, Kotak Mahindra Bank, South Indian Bank, and Yes Bank, to address the trade finance process requirements of banks.32 It is powered by Finacle Trade Connect, a blockchainbased solution for trade finance requirements that digitizes trade finance business processes and offers functionality including bill collection, letters of credit and invoice financing."
35,"Securities In 2015, Nasdaq announced an enterprise-wide initiative to leverage blockchain technology.33 Its first use was to “offer efficient, fully-electronic services that facilitate the issuance, transfer, and management of private company securities.”34 Significantly, in May 2016, it announced the ‘Nasdaq Financial Framework,’ which is an endto-end solution for its financial infrastructure clients around the world, including traditional exchanges.35 The Framework allows clients to leverage blockchain technology, as one of many other capabilities, including machine learning, for their individual needs. Nasdaq was one of the first multinational financial services companies to begin using the blockchain in a non-currency manner."
36," Following in its lead, several other stock and commodity exchanges, including India’s National Stock Exchange (NSE) and Bombay Stock Exchange (BSE), the New York Stock Exchange, the London Stock Exchange, the Japan Exchange Group, the Deutsche Börse, the Dubai Multi Commodities Centre, the Australian Securities Exchange, and the Sydney Stock Exchange have been investigating the potential of blockchain technology to varying extents."
37,"In February 2017, the NSE, along with ICICI Bank, IDFC Bank, Kotak Mahindra Bank, IndusInd Bank, RBL Bank, HDFC Securities, and Blockchain startup Elemential, recently jointly conducted a Know Your Customer (KYC) data trial using the blockchain."
38,The NSE was also reported to be experimenting with the use of blockchain technology to ensure settlement guarantees.40 Both the NSE and the BSE have in the past hosted blockchain events.
