,text
1,"While Blockchain is mostly associated with its debut role in the creation of crypto currency, the technology is a major disruptor, impacting several industries. With wide spread applications in sectors involving agreements/contracts, tracking, and payment, the logistics industry has begun exploring Blockchain technology to access its innovative and secure system."
2,"Managing supply chains, today, include complex co-ordination to transport and distribute goods. Modern logistics networks cater to the expanding global markets, resulting in supply chains that span over hundreds of stages over months, multiple geographical (international) locations, tons of shipping and customs paperwork, and multi-level payments involving numerous stakeholders and entities involved."
3,"Blockchain can potentially help increase the efficiency and transparency of the supply chain process and positively impact everything from warehousing to delivery to payment. Furthermore, with an essentially built-in chain of command, Blockchain facilitates bringing in the necessary reliability and integrity in supply chain management."
4,"According to the Economist, a Blockchain is a distributed database that maintains an ever-growing list of records called ‘blocks’. The information in a block is locked and cannot be altered as each block contains a timestamp and a link to a previous block."
5,"The nature of Blockchains makes it function like a public, digital, distributed ‘ledger’. This function facilitates recording of every transaction on a block and across multiple copies of the ledger, making it highly transparent. It’s also highly secure and extremely efficient and scalable."
6,"Since its debut in 2009, Blockchain has had a disruptive impact on several industries, beginning with the financial sector."
7,"Samir Lambay, Co-Founder & CEO, FreightCrate Technologies, says, ""Blockchain as a technology has a huge potential in cutting costs and creating transparent processes in the Logistics industry. Moreover, since Blockchain is highly secure and safe, it allows many intermediaries within the global supply chain, including transporters, customs authorities, shippers and carriers to communicate safely, cheaply and effectively with each other and the customer. Pilot projects are already being carried out by both carriers and large corporations and it is only a matter of time before the technology will be widely adapted in supply chain management."""
8,"With India’s logistics sector growing at a rate of around 10.5% a year - and expected to reach $215bn in 2020 - supply chain and logistics security is a top priority for enterprises in the region. In order to protect data and increase supply chain transparency, digital ledger technology is predicted to be a critical technology in the growth of the industry. "
9,"Launched in August 2016, Primechain was founded with the belief that blockchain technology will be an enabler of “massive social upliftment and economic prosperity” in India and beyond."
10,"The company is working on several projects, including BankChain, a community of 37 banks for exploring, building and implementing blockchain solutions; Primechain-MONEY, a global blockchain solution for invoice discounting and debt instruments; and a number of educational programs aimed at increasing blockchain adoption on a global scale. "
11,"Signzy, a 2015 startup based in Bangalore, operates a digital contract platform, which enables digital drafting and signing of legal contracts in order to increase compliance and security during third party supplier interactions."
12,Signzy guarantees non-repudiation of contracts through its biometric user authentication system and blockchain-based digital trail. 
13,"Founded in 2013, Imaginnovate specialises in delivering technology solutions to transportation and logistics companies. This month, the Visakhapatnam-headquartered company (which also has offices in Arkansas and Texas) was the latest to join the Blockchain in Transport Alliance (BiTA), whose President, Patrick Duffy, commented: “Blockchain will transform the supply chain by introducing greater transparency, innovation and efficiency. Members like Imaginnovate are the key to BiTA’s success, because the collective knowledge, insight and experience of Alliance members will help enable the best uses of blockchain in the transportation industry.”"
14,"Imaginnovate works with carriers, shippers and third-party logistics providers in the areas of load management, capacity management, fleet optimization, route planning and delivery solutions across all modes of transport including over-the-road, intermodal, regional and last-mile delivery. When the Coffee Board of India (CBoI) launched a blockchain-based electronic-market platform for farmers on March 28 this year, the response was dull."
15,"“Imaginnovate believes that membership in BiTA will enable the company to collaborate with other industry leaders to create and implement effective blockchain standards for the transportation and logistics industry,” commented Krishna Vattipalli, CEO of Imaginnovate."
16,"Walmart, the American multinational retail giant plans to use a blockchain food supply chain solution for shrimp farming in India. "
17,"The pilot project is taking place in Andhra Pradesh, the southern Indian state."
